q_A^-1,intensity,sigma,intensity_fit
4.377648505748250288e-04,2.046465870640184730e+06,8.494969070791153354e+04,1.942867522509711562e+06
4.455313250753588166e-04,2.051481202078838600e+06,8.325695461415515456e+04,1.948959532132314984e+06
4.534355861663153810e-04,2.054913318786643678e+06,8.155635654845841054e+04,1.954583939479443245e+06
4.614800783473826246e-04,2.056744208412292879e+06,7.984958505266798602e+04,1.959667220011012396e+06
4.696672894866124712e-04,2.056959423781168880e+06,7.813834774052423018e+04,1.964130439745573793e+06
4.779997515898240165e-04,2.055548181612716056e+06,7.642436608241226349e+04,1.967889344539124053e+06
4.864800415836623669e-04,2.052503448889400810e+06,7.470937007911904948e+04,1.970854560506200185e+06
4.951107821125495237e-04,2.047822016196035314e+06,7.299509284935428877e+04,1.972931924516265281e+06
5.038946423497687099e-04,2.041504557399523677e+06,7.128326515687687788e+04,1.974022963853446301e+06
5.128343388229472275e-04,2.033555675095734186e+06,6.957560990387381753e+04,1.974025543442214839e+06
5.219326362541750136e-04,2.023983931312291417e+06,6.787383661799463152e+04,1.972834697291509714e+06
5.311923484150342292e-04,2.012801863022886682e+06,6.617963596092762600e+04,1.970343657772341510e+06
5.406163389967977035e-04,2.000025982100405963e+06,6.449467428685485356e+04,1.966445091818307526e+06
5.502075224960606718e-04,1.985676759412219282e+06,6.282058827906451188e+04,1.961032546973104123e+06
5.599688651160921425e-04,1.969778592840892961e+06,6.115897969331474451e+04,1.954002102333486779e+06
5.699033856841702241e-04,1.952359759097252274e+06,5.951141023578466411e+04,1.945254209896994289e+06
5.800141565851962052e-04,1.933452349279305665e+06,5.787939660357397952e+04,1.934695700819372199e+06
5.903043047118737259e-04,1.913092188219870208e+06,5.626440571452424047e+04,1.922241918997956906e+06
6.007770124317377523e-04,1.891318737756998045e+06,5.466785015250657307e+04,1.907818931805402040e+06
6.114355185713500488e-04,1.868174984154097736e+06,5.309108385318924411e+04,1.891365755484430119e+06
6.222831194179451013e-04,1.843707309990239562e+06,5.153539805394109135e+04,1.872836521634973586e+06
6.333231697388565229e-04,1.817965350935002789e+06,5.000201753008666128e+04,1.852202502455105539e+06
6.445590838190193858e-04,1.791001837915531360e+06,4.849209713798663142e+04,1.829453907043847721e+06
6.559943365168885952e-04,1.762872425275742542e+06,4.700671868369360163e+04,1.804601360161553137e+06
6.676324643390821930e-04,1.733635505618008785e+06,4.554688813375500467e+04,1.777676979181706440e+06
6.794770665340949109e-04,1.703352012105491944e+06,4.411353318294694327e+04,1.748734975016631419e+06
6.915318062054173157e-04,1.672085209087892901e+06,4.270750119117981376e+04,1.717851718554005725e+06
7.038004114443945905e-04,1.639900471994102467e+06,4.132955749973827187e+04,1.685125235056695528e+06
7.162866764831956386e-04,1.606865057511170628e+06,3.998038413480651798e+04,1.650674113955664216e+06
7.289944628682249296e-04,1.573047865139830858e+06,3.866057890365247295e+04,1.614635848908773623e+06
7.419277006543606749e-04,1.538519191281468840e+06,3.737065488675875531e+04,1.577164650944943540e+06
7.550903896203792903e-04,1.503350477069682907e+06,3.611104032683988044e+04,1.538428803829876706e+06
7.684866005059365086e-04,1.467614051210539415e+06,3.488207891358955385e+04,1.498607653400746640e+06
7.821204762705039103e-04,1.431382869138954440e+06,3.368403046064072259e+04,1.457888339741566684e+06
7.959962333746297206e-04,1.394730249833843205e+06,3.251707196979885703e+04,1.416462391425051726e+06
8.101181630839421549e-04,1.357729611660980619e+06,3.138129907485580043e+04,1.374522303985482780e+06
8.244906327962760878e-04,1.320454208630281966e+06,3.027672785652092716e+04,1.332258220361489337e+06
8.391180873923520609e-04,1.282976868462249171e+06,2.920329701757917792e+04,1.289854819970059209e+06
8.540050506104184371e-04,1.245369733857077779e+06,2.816087040612040073e+04,1.247488506604061462e+06
8.691561264452727070e-04,1.207704008348902455e+06,2.714923987340531312e+04,1.205324965118820779e+06
8.845760005721163381e-04,1.170049708106931765e+06,2.616812845100796039e+04,1.163517134693951346e+06
9.002694417956557055e-04,1.132475421014602995e+06,2.521719383101784479e+04,1.122203624101086985e+06
9.162413035249268025e-04,1.095048074317730032e+06,2.429603213106619296e+04,1.081507573451799806e+06
9.324965252742715592e-04,1.057832712082854006e+06,2.340418192495123003e+04,1.041535948596694740e+06
9.490401341909520316e-04,1.020892283648160286e+06,2.254112851745365697e+04,1.002379239559230045e+06
9.658772466098665020e-04,9.842874441812732257e+05,2.170630844078344671e+04,9.641115235782589298e+05
9.830130696358385742e-04,9.480763683819170110e+05,2.089911414755246733e+04,9.267908465929927770e+05
1.000452902753992636e-03,9.123145782834370621e+05,2.011889887359363274e+04,8.904598741180130746e+05
1.018202139468684601e-03,8.770547860149345361e+05,1.936498164135815750e+04,8.551467629804072203e+05
1.036266268971518766e-03,8.423467522880039178e+05,1.863665237244816672e+04,8.208662087310438510e+05
1.054650877838957633e-03,8.082371612671152689e+05,1.793317707542314383e+04,7.876206290203614626e+05
1.073361651760039708e-03,7.747695123736285605e+05,1.725380307231441111e+04,7.554014501341035357e+05
1.092404377294763302e-03,7.419840294593591243e+05,1.659776422545202877e+04,7.241904714995422401e+05
1.111784943663651120e-03,7.099175876683192328e+05,1.596428612353217432e+04,6.939612905840454623e+05
1.131509344569075690e-03,6.786036581856561825e+05,1.535259118440934253e+04,6.646807774980748072e+05
1.151583680048893577e-03,6.480722709517059848e+05,1.476190363032867754e+04,6.363105940527956700e+05
1.172014158362963670e-03,6.183499952971059829e+05,1.419145429128577052e+04,6.088087552588537801e+05
1.192807097913132618e-03,5.894599383345078677e+05,1.364048519057426347e+04,5.821312315397621132e+05
1.213968929197288072e-03,5.614217608220111579e+05,1.310825386928412263e+04,5.562335865838940954e+05
1.235506196798082101e-03,5.342517100973343477e+05,1.259403740518929771e+04,5.310726382617659401e+05
1.257425561406921551e-03,5.079626695685209706e+05,1.209713608662044862e+04,5.066081182300164364e+05
1.279733801883888846e-03,4.825642241373891011e+05,1.161687670261704989e+04,4.828042901499085128e+05
1.302437817354185458e-03,4.580627408302882686e+05,1.115261541571635826e+04,4.596314681119899033e+05
1.325544629341784963e-03,4.344614638124732301e+05,1.070374018871922817e+04,4.370673581445644377e+05
1.349061383940937994e-03,4.117606228746064007e+05,1.026967274026873565e+04,4.150981299177473993e+05
1.372995354026188691e-03,3.899575543972812593e+05,9.849870012653491358e+03,3.937191170919349534e+05
1.397353941501620856e-03,3.690468337273728102e+05,9.443825138617865377e+03,3.729350475874879630e+05
1.422144679589987118e-03,3.490204178371392190e+05,9.051067902630080425e+03,3.527597230174958240e+05
1.447375235162464682e-03,3.298677970830705017e+05,8.671164697578304185e+03,3.332151013117326656e+05
1.473053411109742162e-03,3.115761548385396600e+05,8.303717984782020721e+03,3.143297867317650234e+05
1.499187148755160015e-03,2.941305337424390018e+05,7.948365271186240534e+03,2.961369918192725163e+05
1.525784530310684119e-03,2.775140072838123888e+05,7.604777625762693788e+03,2.786720976084801950e+05
1.552853781376427409e-03,2.617078554319515824e+05,7.272657759759541477e+03,2.619699908582438366e+05
1.580403273484533603e-03,2.466917430225927383e+05,6.951737704874820338e+03,2.460623896171662782e+05
1.608441526688189974e-03,2.324438996208291501e+05,6.641776125768746169e+03,2.309753736894744216e+05
1.636977212196565187e-03,2.189412996046412736e+05,6.342555310490144620e+03,2.167273123783633928e+05
1.666019155056495992e-03,2.061598412435911596e+05,6.053877885338938540e+03,2.033273322847304225e+05
1.695576336881754334e-03,1.940745235912054777e+05,5.775563306644964541e+03,1.907744023008957738e+05
1.725657898630738197e-03,1.826596200586017221e+05,5.507444185590413326e+03,1.790570436141682439e+05
1.756273143433425979e-03,1.718888475998472422e+05,5.249362506030511213e+03,1.681536117854079930e+05
1.787431539468507758e-03,1.617355305051412433e+05,5.001165800484279316e+03,1.580330551289019349e+05
1.819142722891536066e-03,1.521727578748241067e+05,4.762703351750747061e+03,1.486560333068813197e+05
1.851416500815041824e-03,1.431735339291188866e+05,4.533822492963865443e+03,1.399762817563181161e+05
1.884262854341524004e-03,1.347109203940443695e+05,4.314365081038740755e+03,1.319421265044576721e+05
1.917691941650225256e-03,1.267581702984906733e+05,4.104164221344091857e+03,1.244980826420276280e+05
1.951714101138703325e-03,1.192888526098579168e+05,3.903041322884726014e+03,1.175864997881796153e+05
1.986339854620105747e-03,1.122769672351703048e+05,3.710803562960713862e+03,1.111492412744726753e+05
2.021579910577188648e-03,1.056970500134900212e+05,3.527241837252191999e+03,1.051293937500695902e+05
2.057445167474067794e-03,9.952426742407679558e+04,3.352129267758875812e+03,9.947299573812630842e+04
2.093946717126699344e-03,9.373450083568692207e+04,3.185220326969194048e+03,9.413074581781699089e+04
2.131095848133192101e-03,8.830442021721228957e+04,3.026250630847813227e+03,8.905960710971904336e+04
2.168904049364943701e-03,8.321154732672870159e+04,2.874937427328104604e+03,8.422417511817082413e+04
2.207383013519737241e-03,7.843430848698690534e+04,2.730980791713696362e+03,7.959763823400766705e+04
2.246544640737869070e-03,7.395207714065164328e+04,2.594065510207896295e+03,7.516215484063257463e+04
2.286401042282424495e-03,6.974520646328851581e+04,2.463863608051737629e+03,7.090851328151697817e+04
2.326964544284845001e-03,6.579505238521844149e+04,2.340037446132414061e+03,6.683503171943660709e+04
2.368247691556956639e-03,6.208398744370415807e+04,2.222243286734637422e+03,6.294577599440069753e+04
2.410263251470628337e-03,5.859540595174953341e+04,2.110135200121957041e+03,5.924829273179382290e+04
2.453024217906239323e-03,5.531372101939097047e+04,2.003369169816432986e+03,5.575113863084983313e+04
2.496543815271229805e-03,5.222435401634499431e+04,1.901607240105857500e+03,5.246151384954128298e+04
2.540835502589913666e-03,4.931371709830686450e+04,1.804521550028444381e+03,4.938327569845598919e+04
2.585912977665867640e-03,4.656918945646658540e+04,1.711798102870575804e+03,4.651553378660364251e+04
2.631790181318170718e-03,4.397908796291798353e+04,1.623140138461346851e+03,4.385193445640501159e+04
2.678481301692784387e-03,4.153263290981203318e+04,1.538270997619406671e+03,4.138065630637190770e+04
2.726000778650423343e-03,3.921990953688323498e+04,1.456936394767346883e+03,3.908507578649531206e+04
2.774363308232286659e-03,3.703182604467868805e+04,1.378906048442188194e+03,3.694502072985848645e+04
2.823583847205000767e-03,3.496006878367066383e+04,1.303974648673874754e+03,3.493849180926357803e+04
2.873677617686211036e-03,3.299705528588593006e+04,1.231962171074422486e+03,3.304367625017183309e+04
2.924660111852222730e-03,3.113588579184561968e+04,1.162713571849277969e+03,3.124100268245577900e+04
2.976547096729158064e-03,2.937029388947039843e+04,1.096097919772993009e+03,2.951491866531615233e+04
3.029354619069133791e-03,2.769459685238450766e+04,1.032007038107241215e+03,2.785505866989932838e+04
3.083099010312928198e-03,2.610364622221887112e+04,9.703537360321834058e+02,2.625654608675459531e+04
3.137796891640710472e-03,2.459277913782745600e+04,9.110697181584773716e+02,2.471934195349999209e+04
3.193465179112360292e-03,2.315777087357640266e+04,8.541032569180003975e+02,2.324677836430581738e+04
3.250121088898979237e-03,2.179478898563235998e+04,7.994167142958361865e+02,2.184362274247965979e+04
3.307782142607233744e-03,2.050034943464398384e+04,7.469839878791834735e+02,2.051412822336272802e+04
3.366466172698157240e-03,1.927127497979998589e+04,6.967879517877890976e+02,1.926049308583261154e+04
3.426191328002056377e-03,1.810465610533952713e+04,6.488179529929377622e+02,1.808200781866077887e+04
3.486976079331312057e-03,1.699781467968225479e+04,6.030674120576159112e+02,1.697498528649822038e+04
3.548839225192700671e-03,1.594827049435675144e+04,5.595315696427775265e+02,1.593340458838431186e+04
3.611799897601099089e-03,1.495371078756451607e+04,5.182054085987003873e+02,1.495007008590013538e+04
3.675877567996325892e-03,1.401196280702948570e+04,4.790817740328677132e+02,1.401799471333285692e+04
3.741092053264940751e-03,1.312096941819787025e+04,4.421497046482057840e+02,1.313166653593126466e+04
3.807463521868875884e-03,1.227876773263514042e+04,4.073929826736041946e+02,1.228786680454719681e+04
3.875012500082818633e-03,1.148347068041563034e+04,3.747889047828736580e+02,1.148580716329959614e+04
3.943759878342231219e-03,1.073325142982602119e+04,3.443072703697140469e+02,1.072655130737222862e+04
4.013726917704013054e-03,1.002633051145076752e+04,3.159095881145449312e+02,1.001191680045042995e+04
4.084935256421760169e-03,9.360965502411127090e+03,2.895484942666322468e+02,9.343211357524673076e+03
4.157406916637682200e-03,8.735443081900477409e+03,2.651673868586336766e+02,8.720190804800542537e+03
4.231164311193260329e-03,8.148073247969150543e+03,2.427002803041704340e+02,8.140546095749848064e+03
4.306230250560711369e-03,7.597185512885451317e+03,2.220718954102693772e+02,7.600078539005467974e+03
4.382627949897448076e-03,7.081126834198832512e+03,2.031980047499701527e+02,7.093549142487095196e+03
4.460381036225673744e-03,6.598261071175336838e+03,1.859860593021980719e+02,6.615988608755576934e+03
4.539513555739347998e-03,6.146969731241464615e+03,1.703361240066286086e+02,6.164031669994475124e+03
4.620049981240807561e-03,5.725653797656297684e+03,1.561421401035197221e+02,5.736709003406976990e+03
4.702015219709324879e-03,5.332736418187618256e+03,1.432935129623326134e+02,5.335251028813552693e+03
4.785434620003895315e-03,4.966666233956813812e+03,1.316769983913856947e+02,4.961869465896776092e+03
4.870333980702753508e-03,4.625921181797981262e+03,1.211788177763983043e+02,4.618024069894662716e+03
4.956739558081899207e-03,4.309012564301490784e+03,1.116868922596488432e+02,4.303022152911895319e+03
5.044678074235219023e-03,4.014489230751991272e+03,1.030930602948769490e+02,4.013702905593915148e+03
5.134176725338668312e-03,3.740941721141338348e+03,9.529512220710608972e+01,3.745454262864859629e+03
5.225263190061041514e-03,3.487006242901086807e+03,8.819856323663574926e+01,3.494071332741773404e+03
5.317965638123972084e-03,3.251368363082408905e+03,8.171784233333154646e+01,3.257368634191512228e+03
5.412312739013808334e-03,3.032766337305307388e+03,7.577717956308086400e+01,3.035480755199996565e+03
5.508333670848032312e-03,2.829993955969810486e+03,7.031082772533945047e+01,2.829623070090868623e+03
5.606058129399006836e-03,2.641902936637401581e+03,6.526286580776530855e+01,2.640272660226593416e+03
5.705516337277777641e-03,2.467404713600873947e+03,6.058659688073043270e+01,2.466207518919200538e+03
5.806739053280818123e-03,2.305471703797578812e+03,5.624364343966492896e+01,2.305083249039370912e+03
5.909757581902620564e-03,2.155137973219156265e+03,5.220284947331462178e+01,2.154867207511688775e+03
6.014603783017019589e-03,2.015499343603849411e+03,4.843908854186967261e+01,2.014716629757998817e+03
6.121310081730308751e-03,1.885712954163551331e+03,4.493206512310342049e+01,1.884543702355623736e+03
6.229909478409132242e-03,1.764996281147003174e+03,4.166517373017100567e+01,1.763945385503542184e+03
6.340435558886282907e-03,1.652625722587108612e+03,3.862446890160314439e+01,1.651845729894725537e+03
6.452922504847585436e-03,1.547934704422950745e+03,3.579777647604194613e+01,1.547207919747452252e+03
6.567405104403065304e-03,1.450311429440975189e+03,3.317396674656421851e+01,1.449697922310308513e+03
6.683918762845597952e-03,1.359196306735277176e+03,3.074239633724333487e+01,1.359218120127016618e+03
6.802499513600528472e-03,1.274079114347696304e+03,2.849251377765094517e+01,1.274889187723772920e+03
6.923184029369445006e-03,1.194495940811932087e+03,2.641362880563988114e+01,1.195134792000949346e+03
7.046009633471732314e-03,1.120026006959378719e+03,2.449481091723995974e+01,1.119189008760753723e+03
7.171014311387324640e-03,1.050288386745378375e+03,2.272491640048287564e+01,1.048054801284772111e+03
7.298236722504217525e-03,9.849387006685137749e+02,2.109270062132235424e+01,9.831790970609763463e+02
7.427716212074391040e-03,9.236658261120319366e+02,1.958699398592190732e+01,9.241513233086226364e+02
7.559492823381881027e-03,8.661886752843856812e+02,1.819690746820046812e+01,8.684935959304751805e+02
7.693607310126696769e-03,8.122530679404735565e+02,1.691204260907539236e+01,8.141653177797941225e+02
7.830101149028469154e-03,7.616287831962108612e+02,1.572267590254982927e+01,7.616255764434805542e+02
7.969016552653683874e-03,7.141067243218421936e+02,1.461990893835261396e+01,7.127391410464331329e+02
8.110396482470460036e-03,6.694963373541831970e+02,1.359575362950323552e+01,6.682329512170476846e+02
8.254284662134995024e-03,6.276232058405876160e+02,1.264317871251304304e+01,6.271908479659645081e+02
8.400725591013685420e-03,5.883268808126449585e+02,1.175608408444275632e+01,5.886533271161042649e+02
8.549764557945174065e-03,5.514589477777481079e+02,1.092924894553270398e+01,5.524091356229791927e+02
8.701447655246524748e-03,5.168813105821609497e+02,1.015822903645032049e+01,5.181256430309661027e+02
8.855821792967876957e-03,4.844647209644317627e+02,9.439236916880412664e+00,4.850658269184218625e+02
9.012934713400030246e-03,4.540875164270401001e+02,8.769021421705842201e+00,4.532531669563566084e+02
9.172835005839421671e-03,4.256345691680908203e+02,8.144727731068265086e+00,4.239222154625764460e+02
9.335572121614958002e-03,3.989964261054992676e+02,7.563787429558092690e+00,3.980623833859455090e+02
9.501196389381580745e-03,3.740686440467834473e+02,7.023818772673964261e+00,3.749920222731973354e+02
9.669759030685025694e-03,3.507512409687042236e+02,6.522539234562430011e+00,3.528003690178413763e+02
9.841312175802793827e-03,3.289483516216278076e+02,6.057714402155005118e+00,3.300894371309411781e+02
1.001590887986618383e-02,3.085679287910461426e+02,5.627124639437416143e+00,3.074557925110939891e+02
1.019360313926825738e-02,2.895216078758239746e+02,5.228555752554271407e+00,2.871737800805325378e+02
1.037444990836298292e-02,2.717245893478393555e+02,4.859799283753305055e+00,2.707298248603681259e+02
1.055850511646059219e-02,2.550956673622131348e+02,4.518677415700107503e+00,2.567324150799227027e+02
1.074582568512450452e-02,2.395571789741516113e+02,4.203066460297497642e+00,2.421229726074234350e+02
1.093646954577506998e-02,2.250350933074951172e+02,3.910928350812060916e+00,2.255755897159770029e+02
1.113049565760565116e-02,2.114590907096862793e+02,3.640341031374262570e+00,2.091544964687356583e+02
1.132796402581655142e-02,1.987625455856323242e+02,3.389513809313275505e+00,1.962388314988799038e+02
1.152893572017243441e-02,1.868826322555541992e+02,3.156811352656310632e+00,1.873209831632335067e+02
1.173347289388896805e-02,1.757603483200073242e+02,2.940749298938790002e+00,1.788226936581908149e+02
1.194163880285455982e-02,1.653405094146728516e+02,2.740002579513783676e+00,1.673823863799611331e+02
1.215349782519309536e-02,1.555717267990112305e+02,2.553382096717202732e+00,1.538971418079222531e+02
1.236911548117373104e-02,1.464063739776611328e+02,2.379834524861478062e+00,1.428632173049078062e+02
1.258855845347394038e-02,1.378004703521728516e+02,2.218412131790350905e+00,1.371838665093920326e+02
1.281189460780202474e-02,1.297135934829711914e+02,2.068280068120743387e+00,1.331377284913268113e+02
1.303919301388548752e-02,1.221087026596069336e+02,1.928646409126241856e+00,1.250512748482528309e+02
1.327052396683181881e-02,1.149520225524902344e+02,1.798795254517806752e+00,1.135957340773314002e+02
1.350595900886817843e-02,1.082128076553344727e+02,1.678066305203165465e+00,1.043532654362322063e+02
1.374557095146680674e-02,1.018631706237792969e+02,1.565821664606657171e+00,1.008083404582880149e+02
1.398943389786295836e-02,9.587778854370117188e+01,1.461479208976810718e+00,9.923327392296290839e+01
1.423762326597232709e-02,9.023376846313476562e+01,1.364461568199613950e+00,9.339317976855710413e+01
1.449021581171507089e-02,8.491037368774414062e+01,1.274250543269056068e+00,8.380631276572103161e+01
1.474728965275358059e-02,7.988878631591796875e+01,1.190333148900379889e+00,7.625246621638669353e+01
1.500892429265147411e-02,7.515184783935546875e+01,1.112244240154049768e+00,7.408548116488594815e+01
1.527520064546111778e-02,7.068397140502929688e+01,1.039554336133247769e+00,7.356490216524684911e+01
1.554620106074739751e-02,6.647076416015625000e+01,9.718578079518387369e-01,6.929025112523393659e+01
1.582200934905544226e-02,6.249901390075683594e+01,9.087909723881177904e-01,6.178359046881229233e+01
1.610271080783016659e-02,5.875635528564453125e+01,8.500133737746148332e-01,5.576080757871670812e+01
1.638839224779563980e-02,5.523131370544433594e+01,7.951929628363993974e-01,5.413603658865751811e+01
1.667914201980251476e-02,5.191292953491210938e+01,7.440816700727691524e-01,5.408202757141857830e+01
1.697505004215169727e-02,4.879089736938476562e+01,6.964198520659520275e-01,5.123105906085007177e+01
1.727620782840279950e-02,4.585530090332031250e+01,6.519430608869702937e-01,4.551989314893588556e+01
1.758270851567595924e-02,4.309667205810546875e+01,6.104257767380486532e-01,4.075086355398360638e+01
1.789464689345575052e-02,4.050579452514648438e+01,5.717154191622021431e-01,3.943628370415939344e+01
1.821211943290607788e-02,3.807378005981445312e+01,5.355980156563315830e-01,3.960821937555733996e+01
1.853522431670525869e-02,3.579197311401367188e+01,5.018999242234918334e-01,3.782022975920849461e+01
1.886406146941029330e-02,3.365201187133789062e+01,4.704923672355940667e-01,3.356041831190132996e+01
1.919873258835989166e-02,3.164571762084960938e+01,4.412376959708940172e-01,2.985334429003597378e+01
1.953934117512577326e-02,2.976525497436523438e+01,4.139980050006657475e-01,2.887383136458985078e+01
1.988599256752190611e-02,2.800292205810546875e+01,3.886669676197734291e-01,2.907011303527060875e+01
2.023879397218167342e-02,2.635142135620117188e+01,3.651769256288227572e-01,2.782761328063517681e+01
2.059785449771293214e-02,2.480368041992187500e+01,3.433447095844194830e-01,2.490518441883119749e+01
2.096328518844138566e-02,2.335287857055664062e+01,3.231049675699205204e-01,2.207976950561275942e+01
2.133519905875250547e-02,2.199261856079101562e+01,3.043618050913049489e-01,2.121540175834761399e+01
2.171371112804276401e-02,2.071677017211914062e+01,2.869831248781777311e-01,2.150174857728141475e+01
2.209893845629094800e-02,1.951954269409179688e+01,2.708794970172103689e-01,2.052053257361250616e+01
2.249100018026054665e-02,1.839549255371093750e+01,2.559413632950182094e-01,1.852326713378620937e+01
2.289001755034435551e-02,1.733953475952148438e+01,2.420535794049209488e-01,1.654090505999921845e+01
2.329611396806288703e-02,1.634695434570312500e+01,2.291574187291211262e-01,1.567155967314655740e+01
2.370941502422790198e-02,1.541330718994140625e+01,2.171221518145805274e-01,1.598895944047933426e+01
2.413004853778307271e-02,1.453453063964843750e+01,2.059042141631789169e-01,1.520260103578053545e+01
2.455814459533374114e-02,1.370690917968750000e+01,1.954003708585032861e-01,1.379186537271684898e+01
2.499383559137794211e-02,1.292694091796875000e+01,1.855879888660042776e-01,1.248066249690287677e+01
2.543725626925121344e-02,1.219139099121093750e+01,1.764527106111755117e-01,1.162353916952692501e+01
2.588854376279775202e-02,1.149750518798828125e+01,1.678892435378250281e-01,1.192745426202442260e+01
2.634783763878096111e-02,1.084249114990234375e+01,1.599655877300255602e-01,1.127705939301163696e+01
2.681527994004637844e-02,1.022398376464843750e+01,1.525314348685112009e-01,1.027805767838870210e+01
2.729101522945025227e-02,9.639762878417968750e+00,1.457664699769163352e-01,9.400983899314077519e+00
2.777519063456760501e-02,9.087768554687500000e+00,1.394399941296994849e-01,8.632406420015644954e+00
2.826795589319353735e-02,8.566154479980468750e+00,1.336856637394343850e-01,8.878560572456404287e+00
2.876946339965144941e-02,8.073181152343750000e+00,1.282981632805858807e-01,8.375935474534493608e+00
2.927986825192328488e-02,7.607292175292968750e+00,1.234183381092154586e-01,7.629669140389052195e+00
2.979932829961547472e-02,7.167045593261718750e+00,1.188681566773667070e-01,7.043807664814353942e+00
3.032800419277615483e-02,6.751052856445312500e+00,1.147367433025352768e-01,6.390359876960157948e+00
3.086605943157845824e-02,6.358078002929687500e+00,1.108817806815410728e-01,6.578404690380428299e+00
3.141366041688492539e-02,5.986907958984375000e+00,1.074396292146489601e-01,6.225628794894206841e+00
3.197097650170950545e-02,5.636497497558593750e+00,1.042134497808914068e-01,5.633437058094400207e+00
3.253818004359197713e-02,5.305847167968750000e+00,1.012050500627469929e-01,5.256731908520282381e+00
3.311544645790212571e-02,4.993980407714843750e+00,9.856994438238704526e-02,4.690344821896747618e+00
3.370295427208910150e-02,4.700004577636718750e+00,9.608104590819409319e-02,4.863796396575420289e+00
3.430088518089351862e-02,4.422966003417968750e+00,9.391261937633833823e-02,4.611184994860058062e+00
3.490942410253914524e-02,4.162170410156250000e+00,9.185918762738161381e-02,4.166314314977119793e+00
3.552875923592109519e-02,3.916923522949218750e+00,9.005579596405080545e-02,3.898282833815081450e+00
3.615908211880919376e-02,3.686393737792968750e+00,8.836676582705951799e-02,3.432224857105604876e+00
3.680058768708330957e-02,3.469902038574218750e+00,8.686467171069174598e-02,3.587431237809070694e+00
3.745347433502023426e-02,3.266815185546875000e+00,8.555935981956840075e-02,3.415466108391723488e+00
3.811794397664951262e-02,3.076530456542968750e+00,8.425646332079293754e-02,3.095854240100169630e+00
3.879420210819820025e-02,2.898384094238281250e+00,8.291009873746532644e-02,2.891824118950293343e+00
3.948245787164349901e-02,2.731750488281250000e+00,8.179840465379657755e-02,2.527910978727277325e+00
4.018292411939242137e-02,2.576148986816406250e+00,8.090748116096867226e-02,2.650222533746502851e+00
4.089581748010965440e-02,2.430847167968750000e+00,7.979178990552927841e-02,2.547377079151654122e+00
4.162135842571251798e-02,2.295486450195312500e+00,7.904729040956273711e-02,2.327523351679399610e+00
4.235977133955526330e-02,2.169288635253906250e+00,7.853894243313710999e-02,2.164818716603940096e+00
